MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU262009100499,동래소방서,온천119안전센터,야시,단란주점,20220616160628,20220616,160628,2022,06,16,위락시설,20040920,20040922,,부산광역시 동래구 온천동 ,금강공원로,,석고보드.타일,182.0,전시용합판 등,,2/1,,양식(옥),철근콘크리트조,,Y
MU262009100066,동래소방서,연산119안전센터,키스 노래방,유흥주점,20221105205024,20221105,205024,2022,11,05,위락시설,0,20090304,,부산광역시 연제구 연산동 ,고분로,,,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU262009100067,동래소방서,연산119안전센터,제이제이(JJ),유흥주점,20220322115232,20220322,115232,2022,03,22,위락시설,20001218,20001219,20170704,부산광역시 연제구 연산동 ,고분로,,,,벽체 및 천장 일부 합판,,1/5,,양식(옥),철근콘크리트조,,Y
MU272010103271,동부소방서,율하119안전센터,롯데시네마 율하관(제1관),영화상영관,20220107115243,20220107,115243,2022,01,07,판매시설,20100707,20100708,20211223,대구광역시 동구 율하동 ,안심로,롯데쇼핑프라자,철.타일.석고.텍텀.유리.텍스.콘크리트,14810.0,,,2/6,롯데쇼핑프라자 - 롯데쇼핑프라자동,양식(옥),철근콘크리트조,Y,Y
MU262009103678,남부소방서,용당119안전센터,들물,일반음식점,20220808150112,20220808,150112,2022,08,08,근린생활시설,20041025,20041028,20200602,부산광역시 남구 용호동 ,동명로,목화,석고,240.0,MDF,14.0,4/1,,양식(옥),철근콘크리트조,,Y
MU482009101075,진주소방서,중앙119안전센터,금별(구.핑크노래궁(구.서궁/모래시계),유흥주점,20220720132331,20220720,132331,2022,07,20,위락시설,,20070622,20220622,경상남도 진주시 계동 ,비봉로50번길,,,,,,3,올라노래궁 - 올라노래궁동,양식(옥),철근콘크리트조,,Y
MU482009101091,진주소방서,중앙119안전센터,딸기노래연습장(구.별노래연습장),노래연습장업,20220621083055,20220621,083055,2022,06,21,근린생활시설,,20070622,20220620,경상남도 진주시 계동 ,진주대로,,,,,,1/5,바다한입가득 - 바다한입가득동,양식(옥),철근콘크리트조,,Y
MU482009100833,진주소방서,중앙119안전센터,라오산베트남(구.헬로우베트남노래방,유흥주점,20221011084113,20221011,084113,2022,10,11,,,20070709,20220916,경상남도 진주시 중안동 ,비봉로50번길,,,,,,4/1,천상노래방 - 천상노래방동,양식(옥),철근콘크리트조,,Y
MU482009100960,진주소방서,중앙119안전센터,금희베트남(구.79베트남아시아(리버사이트베트남),유흥주점,20221011081614,20221011,081614,2022,10,11,숙박시설,,20070430,20220831,경상남도 진주시 대안동 ,진주대로1079번길,,,,,,4/1,#한성장여관 - 한성장여관동,양식(옥),철근콘크리트조,,Y
MU482009100966,진주소방서,중앙119안전센터,대성콜라텍,콜라텍업,20221007144745,20221007,144745,2022,10,07,근린생활시설,,20090323,20220722,경상남도 진주시 수정동 ,장대로,,,,,,1/5,허심청콜라텍 - 허심청 콜라텍동,양식(옥),철근콘크리트조,,Y
MU482009100971,진주소방서,중앙119안전센터,영상,유흥주점,20220311204633,20220311,204633,2022,03,11,위락시설,,20070622,20220304,경상남도 진주시 계동 ,촉석로185번길,,,,,,1/4,영상노래방 - 영상노래방동,양식(옥),철근콘크리트조,,Y
MU282011110322,중부소방서,연안119안전센터,돌큐 단란주점,단란주점,20220613143422,20220613,143422,2022,06,13,복합건축물,,20080515,20220609,인천광역시 중구 항동7가 ,축항대로86번길,소청도식당건물,,,,,1/6,"소청도식당 건물
(구)한성빌딩 - 1동",양식(옥),철근콘크리트조,,Y
MU282011112762,미추홀소방서,신기119안전센터,퀸,단란주점,20220707162721,20220707,162721,2022,07,07,,,11111111,20201014,인천광역시 미추홀구 용현동 ,한나루로,,,,,,1/2,,양식(옥),철근콘크리트조,,Y
MU482009100464,진주소방서,중앙119안전센터,맨드라미,유흥주점,20220602152946,20220602,152946,2022,06,02,위락시설,20071008,20071008,20220513,경상남도 진주시 장대동 ,장대로6번길,맨드라미,콘크리트 위 종이벽지마감,378.0,합판,15.0,2,베르사체 - 베르사체동,양식(옥),철근콘크리트조,,Y
MU482009100026,진주소방서,천전119안전센터,와와노래연습장,노래연습장업,20220824135331,20220824,135331,2022,08,24,근린생활시설,,20070530,20220818,경상남도 진주시 망경동 ,망경로296번길,,석고보드.핸티코트,,,,3/1,와와노래연습장 - 와와노래연습장동,양식(옥),철근콘크리트조,,Y
MU262009100216,동래소방서,사직119안전센터,판도라,단란주점,20220314113014,20220314,113014,2022,03,14,,,20090305,,부산광역시 동래구 사직동 ,사직북로13번길,,,,,,3/1,한마당단란주점건물 - 한마당단란주점건물동,양식(옥),철근콘크리트조,,Y
MU262009100272,동래소방서,사직119안전센터,오디션노래연습장,노래연습장업,20221228175413,20221228,175413,2022,12,28,근린생활시설,19990719,20180504,20180504,부산광역시 동래구 사직동 ,사직북로13번길,,,,합판(방염도료),64.0,1/5,,양식(옥),철근콘크리트조,,Y
MU262009100288,동래소방서,연산119안전센터,오페라노래주점,유흥주점,20220314113830,20220314,113830,2022,03,14,근린생활시설,0,20030403,20141106,부산광역시 연제구 연산동 ,고분로13번길,대경빌딩,,,방염처리됨,,1/6,대경빌딩 - 1동동,양식(옥),철근콘크리트조,,Y
MU262009100292,동래소방서,사직119안전센터,써니 노래연습장,노래연습장업,20220726153037,20220726,153037,2022,07,26,근린생활시설,,20090305,20220414,부산광역시 연제구 거제동 ,거제천로87번길,,,,,,4/1,하양호건물 - 하양호건물동,양식(옥),철근콘크리트조,,Y
MU262009100327,동래소방서,양정119안전센터,가람포장타운,단란주점,20220816154527,20220816,154527,2022,08,16,근린생활시설,,20120507,,부산광역시 연제구 연산동 ,중앙대로,,,,,,1/3,성화포장센터(서편제단란주점건물) - 서편제단란주점건물동,양식(옥),철근콘크리트조,,Y
MU262009100345,동래소방서,수안119안전센터,세시봉,유흥주점,20221105204738,20221105,204738,2022,11,05,위락시설,20000115,20000117,20140924,부산광역시 동래구 수안동 ,동래시장길,진양상회,,,벽체.천정일부,,3,참새노래방건물 - 종합동,양식(옥),철근콘크리트조,,Y
MU262009100324,동래소방서,연산119안전센터,딩동댕노래연습장,노래연습장업,20221020171544,20221020,171544,2022,10,20,근린생활시설,20041015,20041019,20140521,부산광역시 연제구 연산동 ,연수로,,석고보드등,232.0,전시용 합판등,,1/3,청보장여관 - 1동동,양식(옥),벽돌조,,Y
MU262009100164,동래소방서,수안119안전센터,비타민노래주점,유흥주점,20220110143034,20220110,143034,2022,01,10,위락시설,20090109,20021111,,부산광역시 동래구 명륜동 ,삼성대길,,,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU262009100259,동래소방서,수안119안전센터,아미가,일반음식점,20220106104351,20220106,104351,2022,01,06,근린생활시설,0,20020827,,부산광역시 동래구 복천동 ,동래로136번길,,,,벽체.카운터.목재,,4/1,명주빌딩 - 명주빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100123,동래소방서,연산119안전센터,홍콩노래주점,유흥주점,20220225170150,20220225,170150,2022,02,25,,,20050916,,부산광역시 연제구 연산동 ,반송로,,,,,,2/4,우성장여관우성빌딩(최문소건물) - 우성빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100365,동래소방서,수안119안전센터,열린노래연습장,노래연습장업,20220816153445,20220816,153445,2022,08,16,근린생활시설,20050118,20050119,20191224,부산광역시 동래구 수안동 ,명륜로63번길,,석고.석재.유리,398.0,합판.MDF,,1/3,열린음악회건물 - 열린음악회건물동,양식(옥),철근콘크리트조,,Y
MU262009102550,동래소방서,연산119안전센터,황태자,유흥주점,20220913135720,20220913,135720,2022,09,13,근린생활시설,0,20040310,20160314,부산광역시 연제구 연산동 ,고분로,,,,방염처리됨,,10/2,태원빌딩(김병원건물) - 태원빌딩동,양식(옥),철근콘크리트조,,Y
MU262009102855,남부소방서,광안119안전센터,아우라,단란주점,20220808150250,20220808,150250,2022,08,08,,20060515,20060525,20201202,부산광역시 수영구 광안동 ,광남로142번길,,석고.유리.석재.타일,298.0,MDF필름후처리,71.0,6/2,,양식(옥),철근콘크리트조,,Y
MU262009103628,부산진소방서,부전119안전센터,레전드,유흥주점,20221214090202,20221214,090202,2022,12,14,,20071231,20080117,20140605,부산광역시 부산진구 부전동 ,부전로,,,,,,0/4,,양식(옥),철근콘크리트조,,Y
MU262009103540,사하소방서,하단119안전센터,노래를 찾는 사람들,단란주점,20221124110744,20221124,110744,2022,11,24,근린생활시설,20071025,20071025,20221121,부산광역시 사하구 하단동 ,강선대길,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU262009101737,동래소방서,양정119안전센터,행운열차,단란주점,20221129130455,20221129,130455,2022,11,29,,,20090310,,부산광역시 연제구 연산동 ,월드컵대로,,,,,,1/2,물만골지하철역 - 물만골지하철역동,양식(옥),철근콘크리트조,,Y
MU262009101707,동래소방서,온천119안전센터,럭키노래방,유흥주점,20220816153549,20220816,153549,2022,08,16,위락시설,20020314,20020315,,부산광역시 동래구 온천동 ,온천장2길,,천장.벽체부분 목재 방염처리됨,,,,2/5,니스장여관(김춘달건물) - 니스장여관(김춘달건물)동,양식(옥),철근콘크리트조,,Y
MU262009100520,동래소방서,연산119안전센터,여궁 노래주점,유흥주점,20220616160849,20220616,160849,2022,06,16,근린생활시설,0,20090306,,부산광역시 연제구 연산동 ,거제천로230번길,,,,,,1/3,대원장여관 - 대원장여관동,양식(옥),블록조,,Y
MU262009100734,동래소방서,수안119안전센터,SKY&월,일반음식점,20220802140021,20220802,140021,2022,08,02,근린생활시설,20070721,20071221,,부산광역시 동래구 명륜동 ,명륜로129번길,명륜동 만해빌딩,석고.유리,505.0,합판,113.0,10/1,만해빌딩 - 1동동,양식(옥),철근콘크리트조,,Y
MU262009100922,동래소방서,온천119안전센터,에로스단란주점,단란주점,20220802144413,20220802,144413,2022,08,02,위락시설,20081029,20081030,20140521,부산광역시 동래구 온천동 ,아시아드로,,석고. 타일. 유리 등,439.0,MDF,52.0,3/1,오페라경양식 - 오페라경양식동,양식(옥),철근콘크리트조,,Y
MU262009100752,동래소방서,수안119안전센터,꽃길 민속주점,단란주점,20220616160432,20220616,160432,2022,06,16,근린생활시설,20030926,20030926,,부산광역시 동래구 명륜동 ,명륜로,,,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU262009100765,동래소방서,수안119안전센터,다락,일반음식점,20220211142321,20220211,142321,2022,02,11,근린생활시설,20080710,20080714,,부산광역시 동래구 명륜동 ,명륜로139번길,,석고보드.유리.석재,267.0,MDF,72.0,4,정재상건물 - 정재상건물동,양식(옥),철근콘크리트조,,Y
MU262009102826,남부소방서,광안119안전센터,올레 노래연습장,노래연습장업,20220622090111,20220622,090111,2022,06,22,,20020311,20020311,,부산광역시 수영구 광안동 ,남천바다로,,,,합판.MDF,79.0,1/4,,양식(옥),철근콘크리트조,,Y
MU262009102179,동래소방서,연산119안전센터,황금알,유흥주점,20220322115244,20220322,115244,2022,03,22,위락시설,20021031,20021102,20141121,부산광역시 연제구 연산동 ,거제천로230번길,,,,벽체.천정,,1/5,로망스모텔 - 1동,양식(옥),철근콘크리트조,,Y
MU262009103410,남부소방서,망미119안전센터,돌고래,유흥주점,20220817103236,20220817,103236,2022,08,17,,20050414,20050420,20191121,부산광역시 수영구 수영동 ,연수로415번길,,석고. 타일 등,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU262009102795,남부소방서,광안119안전센터,돌고래횟집,일반음식점,20220125132142,20220125,132142,2022,01,25,근린생활시설,20030822,20030826,,부산광역시 수영구 민락동 ,수변공원2길,마린리치회타운,,,MDF.합판,162.0,1/9,,양식(옥),철근콘크리트조,,Y
MU262009103570,부산진소방서,부전119안전센터,동양고시텔,고시원업,20221130135953,20221130,135953,2022,11,30,,20081111,20081112,20221114,부산광역시 부산진구 부전동 ,동천로95번길,,,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU262009102797,남부소방서,광안119안전센터,남자마늘보쌈,일반음식점,20220208080215,20220208,080215,2022,02,08,근린생활시설,20030723,20030724,20200521,부산광역시 수영구 민락동 ,수변공원2길,마린리치회타운,,,방염필름,49.0,1/9,,양식(옥),철근콘크리트조,,Y
MU262009103310,남부소방서,대연119안전센터,엔돌핀,단란주점,20220718174700,20220718,174700,2022,07,18,,,20090404,,부산광역시 수영구 남천동 ,황령대로,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU262009100611,동래소방서,양정119안전센터,씨엔엔(CNN),유흥주점,20220211105127,20220211,105127,2022,02,11,근린생활시설,,20040629,20160429,부산광역시 연제구 연산동 ,월드컵대로,파라다이스빌딩,,,,,2/13,파라다이스빌딩(구.솔토빌딩) - 솔토빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100613,동래소방서,양정119안전센터,세븐,유흥주점,20220816154441,20220816,154441,2022,08,16,근린생활시설,,20050603,20161027,부산광역시 연제구 연산동 ,월드컵대로,파라다이스빌딩,,,,,2/13,파라다이스빌딩(구.솔토빌딩) - 솔토빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100605,동래소방서,온천119안전센터,나리,일반음식점,20220106105643,20220106,105643,2022,01,06,근린생활시설,20060419,20060420,,부산광역시 동래구 온천동 ,중앙대로1367번길,,석고.타일.유리,393.0,MDF,33.0,1/6,삼남빌딩 - 삼남빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100621,동래소방서,양정119안전센터,퍼센트,유흥주점,20220603141535,20220603,141535,2022,06,03,근린생활시설,,20060622,,부산광역시 연제구 연산동 ,월드컵대로,파라다이스빌딩,석고.타일.유리,511.0,MDF.합판,33.0,2/13,파라다이스빌딩(구.솔토빌딩) - 솔토빌딩동,양식(옥),철근콘크리트조,,Y
MU272010103573,동부소방서,율하119안전센터,롯데컬처웍스(주)엔제리너스롯데시네대구율하,휴게음식점,20220107114410,20220107,114410,2022,01,07,판매시설,20100910,20101230,20191206,대구광역시 동구 율하동 ,안심로,롯데쇼핑프라자,MDF위 방염도료칠,173.0,,,6/2층,롯데쇼핑프라자 - 롯데쇼핑프라자동,양식(옥),철근콘크리트조,Y,Y
MU272010103751,동부소방서,신천119안전센터,황제가요방,단란주점,20221013180558,20221013,180558,2022,10,13,근린생활시설,20101025,20101025,20220930,대구광역시 동구 신암동 ,동대구로,,타일.유리.석고보드 위 칠,206.0,,,1/5,,양식(옥),철근콘크리트조,,Y
MU482009101580,창녕소방서,남지119안전센터,락투단란주점,단란주점,20220111100107,20220111,100107,2022,01,11,복합건축물,20070611,20070611,20210909,경상남도 창녕군 남지읍 남지리,남포길,상록상가,콘크리트.석고,0.0,없음,0.0,3,상록상가 - 상록 상가동,양식(옥),철근콘크리트조,,Y
MU482009101894,마산소방서,석전119안전센터,팡팡노래주점,유흥주점,20220304161558,20220304,161558,2022,03,04,,,20090619,20190102,경상남도 창원시 마산회원구 석전동 ,마산역광장로,힐튼장모텔,석고보드. 콘크리트,,방염도료 등,,지상,보민빌딩 - 보민빌딩동,양식(옥),철골철근콘크리트조,,Y
MU482009101320,마산소방서,남성119안전센터,모나코노래연습장,노래연습장업,20220531164316,20220531,164316,2022,05,31,근린생활시설,,20070525,,경상남도 창원시 마산합포구 교원동 ,노산서18길,다몬텔레콤건물,석고보드,,,,1/3,모나코노래방 - 모나코노래방동,양식(옥),철근콘크리트조,,Y
MU482009101230,마산소방서,중앙119안전센터,원시림,유흥주점,20220616150825,20220616,150825,2022,06,16,위락시설,,20070605,20130103,경상남도 창원시 마산합포구 동성동 ,해안대로,삼오빌딩,석고보드 등,,,,1/11,,양식(옥),철근콘크리트조,,Y
MU482009101249,마산소방서,중앙119안전센터,탑싱어노래주점,유흥주점,20220806103429,20220806,103429,2022,08,06,위락시설,,20061205,20130916,경상남도 창원시 마산합포구 동성동 ,동서북14길,주택,석고보드.타일.유리 등,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU482009101250,양산소방서,평산119안전센터,내사랑,유흥주점,20220917100636,20220917,100636,2022,09,17,근린생활시설,20090507,20090512,20220716,경상남도 양산시 덕계동 ,,,,,,,지상2,무지개빌딩(탑노래방) - 탑노래방 스타노래연습장동,양식(옥),철근콘크리트조,,Y
MU482009101222,마산소방서,중앙119안전센터,금빛여우,유흥주점,20220913112000,20220913,112000,2022,09,13,위락시설,,20070611,,경상남도 창원시 마산합포구 동성동 ,동서북10길,주택,석고보드 등,,,,4,,양식(옥),철근콘크리트조,,Y
MU482009101240,양산소방서,평산119안전센터,스타뮤직,유흥주점,20221010094149,20221010,094149,2022,10,10,근린생활시설,20090507,20090511,20170915,경상남도 양산시 덕계동 ,,,,,,,지상6층,,양식(옥),철근콘크리트조,,Y
MU482009101915,마산소방서,호계119안전센터,오밀조밀 수제비 칼국수,일반음식점,20221027135219,20221027,135219,2022,10,27,복합건축물,,20051118,20210322,경상남도 창원시 마산회원구 내서읍 호계리,호계본동로,,석고보드.유리,193.0,방염필름,64.0,4/1,그랜드쇼핑 - 그랜드쇼핑동,양식(옥),철근콘크리트조,,Y
MU482009104045,양산소방서,중앙119안전센터,금수(金水)노래방(구. 놀이터),유흥주점,20221222172108,20221222,172108,2022,12,22,근린생활시설,20070630,20070630,,경상남도 양산시 북부동 ,북안남8길,삐애로노래방,,,합판,40.0,0/3,삐에로노래방 - 삐에로노래방동,양식(옥),철근콘크리트조,,Y
MU282011115442,서부소방서,연희119안전센터,원점노래연습장,노래연습장업,20220803165035,20220803,165035,2022,08,03,근린생활시설,,19970205,20220803,인천광역시 서구 심곡동 ,심곡로,,,,,,3/1,연세수의원(구 백화점 약국) - 1동,양식(옥),철근콘크리트조,,Y
MU282011114365,서부소방서,연희119안전센터,칸노래연습장,노래연습장업,20221122174727,20221122,174727,2022,11,22,,,20091027,20221122,인천광역시 서구 심곡동 ,탁옥로,제스트프라자,석고보드.타일.유리.갈바,605.0,,,1/7,,양식(옥),철골철근콘크리트조,,Y
MU282009103502,부평소방서,부평119안전센터,큐브,유흥주점,20221125173839,20221125,173839,2022,11,25,,20090309,20091230,20221124,인천광역시 부평구 부평동 ,시장로12번길,,석고보드.천연석.유리.타일,1051.0,,,-2/5,,양식(옥),철근콘크리트조,,Y
MU482009103619,함양소방서,함양119안전센터,번개팅,유흥주점,20220823104238,20220823,104238,2022,08,23,위락시설,,20070521,20220823,경상남도 함양군 함양읍 용평리,용평길,(구)아방궁가요방,석고보드,378.0,방염도료,66.0,3,제우스 - 제우스동,양식(옥),철근콘크리트조,,Y
MU482009103623,통영소방서,도남119안전센터,금호노래방,유흥주점,20220415101610,20220415,101610,2022,04,15,근린생활시설,20090318,20090318,20181031,경상남도 통영시 도남동 ,도남로,,,,필름,35.0,2,금호노래방 건물 - 금호노래방 건물동,양식(옥),철골조,,Y
MU482009103882,통영소방서,무전119안전센터,킹덤,유흥주점,20221026164705,20221026,164705,2022,10,26,근린생활시설,20070412,20070412,,경상남도 통영시 정량동 ,정동3길,,,,,,1,하와이노래유흥주점 - 하와이노래 유흥주점동,양식(옥),철근콘크리트조,,Y
