MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272010100830,중부소방서,삼덕119안전센터,붐,유흥주점,20210811101528,20210811,101528,2021,08,11,근린생활시설,20100720,20100720,20160719,대구광역시 중구 삼덕동1가 ,동성로4길,,석고보드. 타일 등,344.0,벽체장식 외,19.0,1/3,,양식(옥),철근콘크리트조,,Y
MU272011109271,수성소방서,수성119안전센터,블루노래연습장,노래연습장업,20211118100955,20211118,100955,2021,11,18,근린생활시설,,20070530,20211118,대구광역시 수성구 수성동4가 ,들안로,,,,,,1/4,부기다방건물 - 부기다방동,양식(옥),철근콘크리트조,,Y
MU272011108176,수성소방서,수성119안전센터,콤비,노래연습장업,20210218142432,20210218,142432,2021,02,18,근린생활시설,,20070530,,대구광역시 수성구 수성동1가 ,명덕로,,,,,,1/5,세광빌딩 - 세왕빌딩동,양식(옥),철근콘크리트조,,Y
MU272010102591,동부소방서,안심119안전센터,황금노래연습장(신규필증발급됨),노래연습장업,20210903102706,20210903,102706,2021,09,03,근린생활시설,20100616,20100611,,대구광역시 동구 동호동 ,동호로3길,,석고보드,340.0,,,5,,양식(옥),철근콘크리트조,,Y
MU272010101854,동부소방서,신천119안전센터,퀸,유흥주점,20211108094002,20211108,094002,2021,11,08,위락시설,20100217,20100217,20211014,대구광역시 동구 신천동 ,동부로22길,,석고위에 핸디.타일,222.0,MDF,38.0,3/1,,양식(옥),철근콘크리트조,,Y
MU272010100662,강서소방서,성서119안전센터,오드리헵번DVD,비디오물감상실업,20210513165013,20210513,165013,2021,05,13,,20100526,20100528,20210512,대구광역시 달서구 신당동 ,서당로9길,,석고보드 등,923.0,MDF,31.0,1/5,,양식(옥),철근콘크리트조,,Y
MU502009100915,서부소방서,한림센터,부킹(구/ 천왕성/ 구/청향),단란주점,20211109145546,20211109,145546,2021,11,09,,,20070416,20211103,제주특별자치도 제주시 한림읍 한림리,사가길,,,,없음,,1/4,,양식(옥),철근콘크리트조,,Y
MU502009102408,제주소방서,연동센터,환타,단란주점,20210227210351,20210227,210351,2021,02,27,근린생활시설,,20070504,20210203,제주특별자치도 제주시 연동 ,노연로,,,,,,1/4,빨간능금 - 204-본동동,양식(옥),철근콘크리트조,,Y
MU502009101217,제주소방서,오라센터,꿈속,단란주점,20210805172845,20210805,172845,2021,08,05,근린생활시설,,20070207,20210624,제주특별자치도 제주시 삼도일동 ,서사로,,석고보드,,실내장식물,2.0,3/1,089 한양부엌가구건물(모라도) - 모라도건물동,양식(옥),철근콘크리트조,,Y
MU502009100259,서부소방서,대정센터,신세원,유흥주점,20210810075128,20210810,075128,2021,08,10,복합건축물,,20081031,20210806,제주특별자치도 서귀포시 대정읍 하모리,신영로,한국물류,,,방염필름,23.0,1/5,신세원단란주점 - 본동동,양식(옥),철근콘크리트조,,Y
MU502009100414,제주소방서,오라센터,강남,단란주점,20211202212835,20211202,212835,2021,12,02,,,20070313,20211202,제주특별자치도 제주시 삼도일동 ,서광로20길,,석고보드,,해당없음,,4/1,,양식(옥),철근콘크리트조,,Y
MU502009100416,제주소방서,오라센터,월궁,단란주점,20210730171443,20210730,171443,2021,07,30,,,20071128,20210727,제주특별자치도 제주시 삼도일동 ,서사로,,석고보드- 90%이상 불연화 됨,,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009100437,제주소방서,오라센터,줄래,단란주점,20210104193601,20210104,193601,2021,01,04,,,20070326,20201215,제주특별자치도 제주시 삼도일동 ,서사로,,석고보드,,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009100527,제주소방서,오라센터,빳데리,유흥주점,20210805172420,20210805,172420,2021,08,05,복합건축물,,20070302,20210422,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드,,실내장식물(2004-66호),,5/1,루사(구.대상스튜디오)건물 - 75-본동동,양식(옥),철근콘크리트조,,Y
MU502009100451,제주소방서,외도센터,이어도,노래연습장업,20210506075638,20210506,075638,2021,05,06,근린생활시설,,20020220,20210405,제주특별자치도 제주시 도두일동 ,도두항서5길,,콘크리트. 석고보드. 석회,208.0,석고보드. 석회. 유리,,0/3,차말희건물 - 동명칭없음동,양식(옥),철근콘크리트조,,Y
MU502009101005,서부소방서,한림센터,태평양,유흥주점,20210728150901,20210728,150901,2021,07,28,,,20070511,20170801,제주특별자치도 제주시 한림읍 한림리,한림로,,,,,,0/1,,양식(옥),철근콘크리트조,,Y
MU272010101619,강서소방서,성서119안전센터,이백장돈가스,일반음식점,20210115145320,20210115,145320,2021,01,15,,20101108,20101208,,대구광역시 달서구 신당동 ,계대동문로,,석고보드위 수성페인트,317.0,,,1/5,,양식(옥),철근콘크리트조,,Y
MU272010101637,강서소방서,성서119안전센터,김민성아임넙띠기돈까스,일반음식점,20210128232420,20210128,232420,2021,01,28,근린생활시설,20101124,20101202,,대구광역시 달서구 신당동 ,서당로7길,,석고보드. 타일 등,,합판. MDF(방염도료),75.0,1/4,바다횟집건물 - 바다횟집건물동,양식(옥),철근콘크리트조,,Y
MU272011109671,수성소방서,수성119안전센터,오렌지,단란주점,20210831085206,20210831,085206,2021,08,31,근린생활시설,,20090915,,대구광역시 수성구 범어동 ,달구벌대로480길,,,,,,1/3,놀부집항아리갈비 - 신장토장삼겹살동,양식(옥),철근콘크리트조,,Y
MU272011108772,수성소방서,수성119안전센터,춘강다방,휴게음식점,20210804174247,20210804,174247,2021,08,04,근린생활시설,,20070530,20210720,대구광역시 수성구 범어동 ,동대구로,,,,,,1/4,춘강빌딩 - 춘강빌딩동,양식(옥),철근콘크리트조,,Y
MU272011110192,수성소방서,수성119안전센터,스테이(구.연),일반음식점,20211022152411,20211022,152411,2021,10,22,근린생활시설,,20070530,,대구광역시 수성구 범어동 ,들안로,,,,,,1/4,프렌즈레스토랑건물 - 프랜즈레스토랑건물동,양식(옥),철근콘크리트조,,N
MU282010104029,서부소방서,석남119안전센터,화인노래연습장,단란주점,20210907063217,20210907,063217,2021,09,07,위락시설,,20091111,20210906,인천광역시 서구 석남동 ,길주로,,석고보드.타일.안타민.유리,1024.0,,,1/2,국빈관나이트 - 1동,양식(옥),철근콘크리트조,,Y
MU282010103996,서부소방서,석남119안전센터,유성다방,휴게음식점,20210930143706,20210930,143706,2021,09,30,,,20090908,20210929,인천광역시 서구 석남동 ,건지로,서인천정형외과의원,석고.타일,187.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU282010104008,서부소방서,검암119안전센터,072참숯가마,목욕장(찜질방),20210416092847,20210416,092847,2021,04,16,,20120906,20120906,20210412,인천광역시 서구 백석동 ,드림로209번길,,유리 석고 황토 타일,2562.0,미사용,219.0,1,,조립식,샌드위치패널조,,Y
MU272011110872,동부소방서,신천119안전센터,비틀즈라이브카페,일반음식점,20210608161242,20210608,161242,2021,06,08,근린생활시설,20110302,20110302,20210407,대구광역시 동구 효목동 ,효동로2길,,석고보드 위 수성페인트. 유리 마감,452.0,합판(방염도료). MDF(방염도료),81.0,1/3,칠도리식당 - 칠도리식당동,양식(옥),철근콘크리트조,,Y
MU272010101891,북부소방서,산격119안전센터,대동고시텔,고시원업,20210402100256,20210402,100256,2021,04,02,복합건축물,20091123,20100224,20210401,대구광역시 북구 복현동 ,동북로,,석고보드. 유리등,942.0,없음.,0.0,5/1,,양식(옥),철근콘크리트조,,Y
MU272010101437,달서소방서,송현119안전센터,캐롯(CARROT),일반음식점,20210915103116,20210915,103116,2021,09,15,,20100426,20101207,20210819,대구광역시 달서구 상인동 ,상인서로,,콘크리트위 수성페인트. 석고보드위 수성페인트. 유리창마감,192.0,,,1/2,,양식(옥),철근콘크리트조,,Y
MU272011110235,수성소방서,수성119안전센터,큐우바,일반음식점,20211027151044,20211027,151044,2021,10,27,근린생활시설,,20070530,20210528,대구광역시 수성구 범어동 ,들안로,,,,,,1/4,비봉산관광 - 제일무늬목동,양식(옥),철근콘크리트조,,Y
MU272011110093,수성소방서,수성119안전센터,별빛,일반음식점,20210412092607,20210412,092607,2021,04,12,근린생활시설,,20070530,,대구광역시 수성구 수성동3가 ,들안로,,,,,,1/4,벽창호건물 - 시몬레스토랑건물동,양식(옥),철근콘크리트조,,Y
MU272011110291,수성소방서,수성119안전센터,새롬노래연습장,노래연습장업,20211118100932,20211118,100932,2021,11,18,공동주택,,20070530,20211118,대구광역시 수성구 수성동4가 ,달구벌대로,우방사랑,,,,,1/2,,양식(옥),철근콘크리트조,,Y
MU272010104031,북부소방서,산격119안전센터,힐링스크린골프,가상체험체육시설(스크린골프연습장),20210409173739,20210409,173739,2021,04,09,,20101020,20101126,20210331,대구광역시 북구 산격동 ,유통단지로7길,,,,,,1/6,,양식(옥),철근콘크리트조,,Y
MU272010104032,북부소방서,산격119안전센터,엑스코스크린골프연습장,가상체험체육시설(스크린골프연습장),20211208181837,20211208,181837,2021,12,08,근린생활시설,20101109,20101126,,대구광역시 북구 산격동 ,유통단지로8길,,,,,,0/4,유통빌딩 - 유통빌딩동,양식(옥),철근콘크리트조,,Y
MU272010104074,동부소방서,신천119안전센터,세븐,유흥주점,20211108093602,20211108,093602,2021,11,08,위락시설,20101215,20101215,20211026,대구광역시 동구 신천동 ,동부로26길,,석고보드 위 수성페인트 및 종이벽지,226.0,MDF(필름),47.0,1/3,,양식(옥),철근콘크리트조,,Y
MU282010106622,서부소방서,가좌119안전센터,스카이스크린골프,가상체험체육시설(스크린골프연습장),20210510114047,20210510,114047,2021,05,10,근린생활시설,,20101110,20190123,인천광역시 서구 가좌동 ,원적로,인성프라자,해당없음,,해당없음,,5,,양식(옥),철근콘크리트조,,Y
MU282010104517,중부소방서,중앙119안전센터,돌고래,유흥주점,20210104154716,20210104,154716,2021,01,04,복합건축물,,20080131,20190702,인천광역시 중구 신흥동3가 ,제물량로24번길,,,,,,1/4,돌고래건물 - 1동,양식(옥),철근콘크리트조,,Y
MU282011113784,미추홀소방서,신기119안전센터,황제 노래연습장,노래연습장업,20210407133523,20210407,133523,2021,04,07,,,20110915,20210406,인천광역시 미추홀구 주안동 ,인주대로,,실내장식물 불연화됨,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU282011113800,미추홀소방서,신기119안전센터,미래다방,휴게음식점,20210804144125,20210804,144125,2021,08,04,,,11111111,20210714,인천광역시 미추홀구 주안동 ,미추홀대로,,,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU282009103492,부평소방서,삼산119안전센터,에스칼라디움웨딩,일반음식점,20210528171720,20210528,171720,2021,05,28,,20090213,20091231,20200916,인천광역시 부평구 삼산동 ,길주로,대덕리치아노,석고보드.타일,2717.0,,,-5/20,,양식(옥),철근콘크리트조,,Y
MU262009100805,동래소방서,연산119안전센터,아모르,유흥주점,20211202154725,20211202,154725,2021,12,02,위락시설,,20021226,,부산광역시 연제구 연산동 ,반송로,,,,,,1/4,신종빌딩(구신동열건물) - 1동동,양식(옥),철근콘크리트조,,Y
MU272010101832,북부소방서,산격119안전센터,블레스빌고시원,고시원업,20210104091653,20210104,091653,2021,01,04,근린생활시설,20100513,20100614,,대구광역시 북구 복현동 ,경진로,,석고보드. 몰탈위 종이벽지,203.0,,,5,,양식(옥),철근콘크리트조,,Y
MU272010101912,북부소방서,칠성119안전센터,뉴초록사과노래연습장,노래연습장업,20210825134202,20210825,134202,2021,08,25,근린생활시설,20100226,20100309,,대구광역시 북구 고성동3가 ,옥산로,,석고보드등 ,348.0,MDF위 방염필름. 방염도료,137.0,2,황장군(구.장마당) - 황장군동,양식(옥),철근콘크리트조,,Y
MU272010103132,동부소방서,신천119안전센터,짱,유흥주점,20210608161358,20210608,161358,2021,06,08,위락시설,20101101,20101105,20210412,대구광역시 동구 신천동 ,동부로26길,,석고보드. 타일 등,194.0,MDF(필름),71.0,1/3,,양식(옥),철근콘크리트조,,Y
MU262009103321,남부소방서,대연119안전센터,(유)아웃백스테이크하우스코리아 남천점,일반음식점,20211213111937,20211213,111937,2021,12,13,,20030822,20030823,20200321,부산광역시 수영구 남천동 ,광안해변로,OUTBACK남천점,,,,,0/3,,양식(옥),철근콘크리트조,,Y
MU262009103419,남부소방서,감만119안전센터,코리아노래연습장,노래연습장업,20211014110354,20211014,110354,2021,10,14,,,20090406,,부산광역시 남구 대연동 ,석포로,,,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU262009102422,동래소방서,연산119안전센터,조아노래주점,유흥주점,20211202154554,20211202,154554,2021,12,02,위락시설,,20090315,,부산광역시 연제구 연산동 ,중앙대로,,,,,,3/1,대화싸롱건물 - 대화싸롱건물동,양식(옥),철근콘크리트조,,Y
MU482009101079,진주소방서,중앙119안전센터,황제회관,단란주점,20211208112534,20211208,112534,2021,12,08,숙박시설,,20070917,20180410,경상남도 진주시 계동 ,비봉로54번길,,콘크리트. 석고보드,310.0,합판 방염도료 MDF방염도료,14.0,4/1,*하이츠궁전(단란주점) - 하이츠궁전(단란주점)동,양식(옥),철근콘크리트조,,Y
MU482009100972,진주소방서,중앙119안전센터,남태평양,단란주점,20211209074524,20211209,074524,2021,12,09,근린생활시설,,20070612,20210507,경상남도 진주시 대안동 ,진주대로1079번길,,,,,,3/1,남태평양노래방 - 남태평양노래방동,양식(옥),철근콘크리트조,,Y
MU282011112522,미추홀소방서,신기119안전센터,필단란주점,단란주점,20210506112508,20210506,112508,2021,05,06,근린생활시설,,19981229,,인천광역시 미추홀구 용현동 ,인주대로,,,,,,1/3,노래하는맥주집 - 1동,양식(옥),철근콘크리트조,,Y
MU482009100543,밀양소방서,하남119안전센터,스카이노래주점,유흥주점,20210825162355,20210825,162355,2021,08,25,복합건축물,20021214,20021216,20191120,경상남도 밀양시 하남읍 수산리,시동중앙길,스카이노래주점,자료없음,,합판,71.0,4층,스카이주점 - 스카이주점동,양식(옥),철근콘크리트조,,Y
MU482009100043,진주소방서,천전119안전센터,아웃백스테이크하우스 진주점,일반음식점,20211209182552,20211209,182552,2021,12,09,근린생활시설,,20071102,20211209,경상남도 진주시 칠암동 ,진주대로,,콘크리트.석고보드,1181.0,,,3,아웃백진주점 - 아웃뱃진주점동,양식(옥),철근콘크리트조,,Y
MU482009100096,진주소방서,천전119안전센터,남강노래방,단란주점,20211209183121,20211209,183121,2021,12,09,,,20140428,20210707,경상남도 진주시 칠암동 ,진주대로908번길,,석고보드.콘크리트,,합판,,3/1,,양식(옥),철근콘크리트조,,Y
MU482009100088,진주소방서,천전119안전센터,매븐(경남과기대점)(구.대박포차),일반음식점,20211209182804,20211209,182804,2021,12,09,근린생활시설,,20080617,20190404,경상남도 진주시 칠암동 ,동진로34번길,,,,,,3/1,방가방가노래연습장 - 방가방가노래연습장동,양식(옥),철근콘크리트조,,Y
MU482009100089,진주소방서,천전119안전센터,MAX(구.썬샤인노래연습장),노래연습장업,20211220103717,20211220,103717,2021,12,20,근린생활시설,,20070530,20210930,경상남도 진주시 칠암동 ,동진로38번길,,,,,,4/1,술익는마을 - 술익는마을동,양식(옥),철근콘크리트조,,Y
MU482009100042,진주소방서,천전119안전센터,솔,노래연습장업,20210429112325,20210429,112325,2021,04,29,근린생활시설,20190311,20070518,20210426,경상남도 진주시 망경동 ,망경남길,,석고보드,,방염필름.도료,59.0,3,솔노래연습장 - 솔노래연습장동,양식(옥),철근콘크리트조,,Y
MU482009100918,진주소방서,중앙119안전센터,음치노래연습장,노래연습장업,20210728133655,20210728,133655,2021,07,28,위락시설,,20130628,20130521,경상남도 진주시 계동 ,비봉로62번길,,,,,,1/3,대가 - 대가동,양식(옥),철근콘크리트조,,Y
MU482009100818,거창소방서,위천119안전센터,하고리,일반음식점,20210719141406,20210719,141406,2021,07,19,근린생활시설,20070503,20070503,,경상남도 거창군 마리면 하고리,소곡2길,폰타네,,,목재(2007년4월27일/36개소),61.0,1/2,안채(구.폰타네) - 안채(구.폰타네)동,양식(옥),철골조,,N
MU482009101044,진주소방서,중앙119안전센터,앵콜,노래연습장업,20211209165326,20211209,165326,2021,12,09,근린생활시설,,20070620,20210827,경상남도 진주시 수정동 ,장대로,,,,,,1/5,앵콜노래연습장 - 앵콜노래연습장동,양식(옥),철근콘크리트조,,Y
MU482009101151,거제소방서,신현119안전센터,마돈나가라오케,단란주점,20210713133946,20210713,133946,2021,07,13,근린생활시설,20070529,20070529,20161119,경상남도 거제시 고현동 ,거제중앙로17길,,확인불가,,필름,58.0,1/4,이승철 근생 - 1동동,양식(옥),철근콘크리트조,,Y
MU482009101170,마산소방서,양봉119안전센터,아싸2000노래연습장,노래연습장업,20210804132927,20210804,132927,2021,08,04,,,20070101,,경상남도 창원시 마산회원구 봉암동 ,봉암북2길,정의웅변학원,,,,,-1/4,아싸2000노래방 - 아싸2000노래방동,양식(옥),철근콘크리트조,,Y
MU482009100956,진주소방서,중앙119안전센터,럭키스타(LUCKY STAR)베트남노래방,유흥주점,20210805162104,20210805,162104,2021,08,05,위락시설,,20070612,20180829,경상남도 진주시 대안동 ,진주대로1079번길,,,,,,3/1,다낭베트남 노래방 - 다낭베트남 노래방동,양식(옥),철근콘크리트조,,Y
MU482009101173,마산소방서,중앙119안전센터,리밍,일반음식점,20210803172020,20210803,172020,2021,08,03,근린생활시설,,20060420,20201125,경상남도 창원시 마산합포구 동성동 ,해안대로,호텔엠에스,석고보드.타일.유리등,2564.0,,,4/15,,양식(옥),철골조,,Y
MU262009100044,동래소방서,연산119안전센터,라온,유흥주점,20210513192907,20210513,192907,2021,05,13,위락시설,,19990121,20140528,부산광역시 연제구 연산동 ,반송로,,,,,,3,미니스토어건물 - 미니스토어건물동,양식(옥),철근콘크리트조,,Y
MU262009100286,동래소방서,사직119안전센터,8090 써니 라이브,단란주점,20210616142915,20210616,142915,2021,06,16,근린생활시설,,20100913,20160328,부산광역시 동래구 사직동 ,여고북로,,,,,,3/1,롯데슈퍼건물 - 롯데슈퍼건물동,양식(옥),철근콘크리트조,,Y
MU262009100314,동래소방서,양정119안전센터,빙고노래연습장,노래연습장업,20210607161210,20210607,161210,2021,06,07,근린생활시설,,20140818,20190520,부산광역시 연제구 연산동 ,중앙대로1133번길,,,,,,2,,양식(옥),철근콘크리트조,,Y
MU262009100461,동래소방서,연산119안전센터,설운도차차차 노래연습장,노래연습장업,20210221140029,20210221,140029,2021,02,21,근린생활시설,20010516,20010517,20180817,부산광역시 연제구 연산동 ,연수로,,,,합판 등 일부,,1/4,,양식(옥),철근콘크리트조,,Y
MU262009100360,동래소방서,수안119안전센터,우리동네음악대장노래연습장,노래연습장업,20210624131141,20210624,131141,2021,06,24,근린생활시설,20010601,20010602,20160726,부산광역시 동래구 수안동 ,명륜로63번길,,,,벽체및천정일부,,1/4,2002월드컵단란주점 - 2002월드컵단란주점동,양식(옥),철근콘크리트조,,Y
MU262009100655,동래소방서,온천119안전센터,씨지브이동래 제1관,영화상영관,20210429165908,20210429,165908,2021,04,29,문화및집회시설,20061017,20061018,,부산광역시 동래구 온천동 ,중앙로,SK HUB스카이아파트,석고.유리.금속.택텀.타일.대리석,14974.0,MDF,1760.0,5/49,SK허브스카이 - SK 허브 스카이동,양식(옥),철골철근콘크리트조,Y,Y
MU262009100438,동래소방서,온천119안전센터,사이코쿠,일반음식점,20210413135934,20210413,135934,2021,04,13,근린생활시설,20080804,20080805,,부산광역시 동래구 온천동 ,금강공원로20번길,,유리. 석고. 타일,493.0,MDF,97.0,3,,양식(옥),철근콘크리트조,,Y
MU262009101452,금정소방서,서동119안전센터,제플린,단란주점,20211102173633,20211102,173633,2021,11,02,근린생활시설,0,20090309,,부산광역시 동래구 명장동 ,반송로,까미노래주점,,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU262009101364,동래소방서,양정119안전센터,올래,유흥주점,20210513193123,20210513,193123,2021,05,13,근린생활시설,20040424,20040426,20140731,부산광역시 연제구 연산동 ,월드컵대로,태연빌딩,,,방염처리됨,,1/11,태연빌딩 - 1동,양식(옥),철근콘크리트조,,Y
MU262009102640,동래소방서,수안119안전센터,데낄라노래방주점,유흥주점,20210501141835,20210501,141835,2021,05,01,근린생활시설,0,20000914,20120316,부산광역시 동래구 수안동 ,충렬대로237번길,,,,,,3,,양식(옥),철근콘크리트조,,Y
MU262009103634,부산진소방서,부전119안전센터,데블다이스,일반음식점,20211230142812,20211230,142812,2021,12,30,,20080117,20080124,,부산광역시 부산진구 부전동 ,서전로10번길,,,,,,1/6,,양식(옥),철골철근콘크리트조,,Y
MU262009103636,부산진소방서,수정119안전센터,대박통술집,일반음식점,20211217095045,20211217,095045,2021,12,17,,20080125,20080128,,부산광역시 동구 수정동 ,고관로,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU262009101708,동래소방서,온천119안전센터,금풍노래주점,유흥주점,20210314121945,20210314,121945,2021,03,14,위락시설,20000120,20000121,,부산광역시 동래구 온천동 ,온천장로107번길,,,,벽체 및 천장일부 목재합판 방염처리.,,3/1,,양식(옥),철근콘크리트조,,Y
MU262009100929,동래소방서,양정119안전센터,뉴비틀즈노래연습장,노래연습장업,20210429165826,20210429,165826,2021,04,29,근린생활시설,20050923,20050926,20170223,부산광역시 부산진구 양정동 ,양정원동4로,해성탕,석고. 석재. 유리,533.0,MDF,,0/3,해성탕 - 프로컨설팅동,양식(옥),철근콘크리트조,,Y
MU262009100834,동래소방서,연산119안전센터,신바람노래주점,유흥주점,20210405165029,20210405,165029,2021,04,05,위락시설,20060825,20060829,,부산광역시 연제구 연산동 ,중앙대로1120번길,,석고보드. 콘크리트 등,222.0,MDF,25.0,1/5,석송초밥건물(어심횟집) - 석송초밥건물(어심횟집)동,양식(옥),철근콘크리트조,,Y
MU262009103349,남부소방서,용당119안전센터,마돈나,단란주점,20211103104315,20211103,104315,2021,11,03,근린생활시설,,20031023,,부산광역시 남구 용호동 ,용호로,,0,0.0,0,0.0,1/5,,양식(옥),철근콘크리트조,,Y
MU262009103978,부산진소방서,부전119안전센터,퀸(Queen),일반음식점,20211025193503,20211025,193503,2021,10,25,,20080609,20080611,20160624,부산광역시 부산진구 부전동 ,서면로,,,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU262009103432,남부소방서,광안119안전센터,봄밤,일반음식점,20210520151412,20210520,151412,2021,05,20,,20020419,20020419,,부산광역시 수영구 광안동 ,광남로108번길,,,,합판,38.0,2,,양식(옥),블록조,,Y
MU262009102793,남부소방서,광안119안전센터,금랑횟집 광안리본점,일반음식점,20210118113334,20210118,113334,2021,01,18,근린생활시설,20030805,20030807,20210104,부산광역시 수영구 민락동 ,수변공원2길,마린리치회타운,,,MDF. 합판,9.0,1/9,,양식(옥),철근콘크리트조,,Y
MU262009103565,남부소방서,광안119안전센터,오닉스(ONIX),일반음식점,20210413112045,20210413,112045,2021,04,13,,20060327,20060330,20190627,부산광역시 수영구 민락동 ,광안해변로344번길,,석고.유리.타일.콘크리트,363.0,MDF 도료및필름후처리,79.0,8/1,,양식(옥),철근콘크리트조,,Y
MU262009103307,남부소방서,용당119안전센터,코끼리7080라이브,단란주점,20210528090047,20210528,090047,2021,05,28,,,20090404,20200102,부산광역시 남구 용호동 ,용호로,벌떼,,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU262009100638,동래소방서,연산119안전센터,늘봄,단란주점,20210331090451,20210331,090451,2021,03,31,근린생활시설,0,20090306,20160801,부산광역시 연제구 연산동 ,과정로,,,,,,1/5,늘봄단란주점건물 - 늘봄단란저점건물동,양식(옥),벽돌조,,Y
MU262009100523,동래소방서,연산119안전센터,술마시는 싱싱노래방,유흥주점,20211202154821,20211202,154821,2021,12,02,근린생활시설,0,20090306,20200213,부산광역시 연제구 연산동 ,반송로,,,,,,1/3,미니스토어건물 - 미니스토어건물동,양식(옥),철근콘크리트조,,Y
MU272010103592,동부소방서,신천119안전센터,퀸,단란주점,20211108094109,20211108,094109,2021,11,08,근린생활시설,20100826,20100914,20211014,대구광역시 동구 신천동 ,동부로22길,,석고보드 위 핸디.타일. 유리,250.0,MDF,41.0,1/3층,,양식(옥),철근콘크리트조,,Y
MU272010103552,동부소방서,신천119안전센터,신천 스마트빌,고시원업,20211220102113,20211220,102113,2021,12,20,근린생활시설,20101027,20101027,,대구광역시 동구 신천동 ,화랑로3길,,석고보드 위 종이벽지. 조적 위 타일 마감,582.0,,,0/5,신천스마트빌 - 신천스마트빌동,양식(옥),철근콘크리트조,,Y
MU272011107732,중부소방서,삼덕119안전센터,대웅캐슬,고시원업,20210503135440,20210503,135440,2021,05,03,근린생활시설,20100511,20110109,20210506,대구광역시 중구 동인동4가 ,국채보상로149길,,콘크리트. 석고보드 등,1099.0,MDF 위 방염필름,261.0,0/7,,양식(옥),철근콘크리트조,,Y
MU482009101667,마산소방서,남성119안전센터,무학,유흥주점,20210803191701,20210803,191701,2021,08,03,위락시설,,20071004,,경상남도 창원시 마산합포구 상남동 ,북성로,삼성빌딩,석고보드.유리.헨디코드,,,,5/1,삼성빌딩 - 삼성빌딩동,양식(옥),철근콘크리트조,,Y
MU482009101668,마산소방서,구암119안전센터,구암노래연습장,노래연습장업,20210705165457,20210705,165457,2021,07,05,근린생활시설,,20001101,,경상남도 창원시 마산회원구 구암동 ,구암서6길,주택,,,,,3/1,옥이노래연습장 - 옥이노래연습장동,양식(옥),철근콘크리트조,,Y
MU482009101896,마산소방서,석전119안전센터,파트너,유흥주점,20210804113605,20210804,113605,2021,08,04,,,20010529,,경상남도 창원시 마산회원구 양덕동 ,양덕북17길,,,,,,-1/4,,양식(옥),철근콘크리트조,,Y
MU482009101905,마산소방서,중앙119안전센터,오아시스,유흥주점,20210803200809,20210803,200809,2021,08,03,,,20061215,,경상남도 창원시 마산합포구 오동동 ,아구찜길,진보약국,,,방호구조과-11980('06.12.14)발부,,1/3,,양식(옥),철근콘크리트조,,Y
MU482009100796,진주소방서,중앙119안전센터,공주노래방,단란주점,20211209133308,20211209,133308,2021,12,09,근린생활시설,,20070607,20200505,경상남도 진주시 봉곡동 ,진주성로,방가방가 단란주점,,,합판,30.0,2,*공주노래방 - 공주노래방동,양식(옥),철근콘크리트조,,Y
MU482009101246,마산소방서,중앙119안전센터,브이아이피(V.I.P)노래연습장,노래연습장업,20211220085800,20211220,085800,2021,12,20,근린생활시설,,20070611,20200205,경상남도 창원시 마산합포구 동성동 ,동서북10길,주택,석고보드 등,,,,1/4,,양식(옥),철근콘크리트조,,Y
MU482009101283,마산소방서,중앙119안전센터,티바두마리치킨호프창동점,일반음식점,20210825081108,20210825,081108,2021,08,25,근린생활시설,,20070604,20131113,경상남도 창원시 마산합포구 동성동 ,불종거리로,,석고보드 등,,,,1/5,라푸마마산점(구뮤직파크) - 뮤직파크동,양식(옥),철근콘크리트조,,Y
MU482009101208,마산소방서,남성119안전센터,제비산노래주점,유흥주점,20210803180043,20210803,180043,2021,08,03,위락시설,,20070604,,경상남도 창원시 마산합포구 상남동 ,노산북6길,왕금당건물,석고보드,,,,1,제비산노래방 - 제비산노래방동,양식(옥),철근콘크리트조,,Y
MU482009101217,마산소방서,중앙119안전센터,뮤직파크,유흥주점,20211213072819,20211213,072819,2021,12,13,근린생활시설,,20070611,,경상남도 창원시 마산합포구 동성동 ,불종거리로,라푸마마산점,석고보드 등 ,,목재,,1/5,라푸마마산점(구뮤직파크) - 뮤직파크동,양식(옥),철근콘크리트조,,Y
